hallazgo,prioridad,titulo,pasos,pruebas,puerta,estado,archivos_originales,cierre_requerido
HOT-03,P1,Check-in acepta sobrecapacidad y efectivo incoherente,S14 S15 S16,HOT04 PAG01 PAG02 PAG04,G3,Pendiente,backend/src/hotel-erp.Api/Controllers/ReservationsController.cs; backend/src/hotel-erp.Api/Dtos/common/HotelDtos.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
HOT-04,P1,Check-out puede cerrar saldos pendientes o volver a facturar la estadía,S09 S15 S16,HOT08 HOT09 HOT10 E2E03,G3,Pendiente,backend/src/hotel-erp.Api/Controllers/ReservationsController.cs; frontend/src/pages/reservations/CheckOutPage.tsx; backend/src/hotel-erp.Api/Database/Entities/InvoiceEntities.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
HOT-05,P1,Descuentos y exoneraciones se aplican con reglas divergentes,S01 S08 S15 S24,MON05 MON06 MON07 MON12 UI04,G3,Pendiente,backend/src/hotel-erp.Api/Controllers/ReservationsController.cs; frontend/src/pages/reservations/CheckOutPage.tsx; backend/src/hotel-erp.Api/Dtos/Discount/DiscountDtos.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
HOT-06,P1,Borrado lógico oculta historia relacionada sin un criterio uniforme,S13 S14 S17 S20,DAT06 CTA07 COM05,G4,Pendiente,backend/src/hotel-erp.Api/Controllers/SuppliersController.cs; backend/src/hotel-erp.Api/Controllers/RoomsController.cs; backend/src/hotel-erp.Api/Database/ApplicationDbContext.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
INV-01,P1,Edición de stock evita el kardex y la concurrencia pierde salidas,S13 S19,CON05 INV01 INV04,G3,Pendiente,backend/src/hotel-erp.Api/Controllers/InventoryController.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
INV-02,P2,Inventario carece de integración de valoración y compras/consumos,S12 S17 S19,INV02 INV03 INV05 INV06,G3,Pendiente,backend/src/hotel-erp.Api/Database/Entities/ProductEntities.cs; backend/src/hotel-erp.Api/Database/Entities/InvoiceEntities.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
SEG-01,P0,Recepción puede convertirse en administrador modificando roles,S03 S04,SEC01 SEC03 SEC04,G1,Pendiente,backend/src/hotel-erp.Api/Controllers/RolesController.cs; backend/src/hotel-erp.Api/Services/AuthService.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
SEG-02,P0,Credenciales iniciales y clave de firma están publicadas en el proyecto,S04 S05,Q06 SEC06 SEC10,G1,Pendiente,backend/src/hotel-erp.Api/appsettings.json; docker/docker-compose.yml; backend/src/hotel-erp.Api/Program.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
SEG-03,P1,Permisos declarados no se aplican a operaciones sensibles,S03,SEC02 SEC03 SEC04,G1,Pendiente,backend/src/hotel-erp.Api/Program.cs; backend/src/hotel-erp.Api/Controllers/AccountingController.cs; backend/src/hotel-erp.Api/Controllers/TaxConfigurationsController.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
SEG-04,P1,Recepción puede descargar un respaldo completo de PostgreSQL,S03 S28,SEC05,G1,Pendiente,backend/src/hotel-erp.Api/Controllers/BackupController.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
SEG-05,P1,Desactivar un usuario no invalida su token de acceso,S04,SEC06 SEC07 SEC08,G1,Pendiente,backend/src/hotel-erp.Api/Services/AuthService.cs; backend/src/hotel-erp.Api/Program.cs; frontend/src/store/authStore.ts,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
SEG-06,P1,Bitácora declara corrupta su propia cadena sin manipulación,S06 S22,AUD01 AUD05,G4,Pendiente,backend/src/hotel-erp.Api/Services/AuditService.cs; backend/src/hotel-erp.Api/Controllers/AuditLogsController.cs; backend/src/hotel-erp.Api/Migrations/20260820161833_InitialPostgresCreate.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
SEG-07,P1,La auditoría no es completa ni resistente a modificaciones privilegiadas,S10 S22,AUD02 AUD03 AUD04 SEC11,G4,Pendiente,backend/src/hotel-erp.Api/Services/AuditService.cs; backend/src/hotel-erp.Api/Controllers/AuditLogsController.cs; backend/src/hotel-erp.Api/Controllers/RolesController.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
SEG-08,P1,Puertos y privilegios exponen innecesariamente la base en la LAN,S03 S04 D01,SEC03 SEC11,G1 + GD,Pendiente; componente Docker diferido,docker/docker-compose.yml; docker/nginx/nginx.conf,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
SEG-09,P2,"Endurecimiento de sesión, archivos y errores incompleto",S04 S24,SEC08 SEC09 SEC10 UI07,G5,Pendiente,frontend/src/lib/axios.ts; backend/src/hotel-erp.Api/Controllers/DocumentAuthorizationsController.cs; backend/src/hotel-erp.Api/Program.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
SEG-10,P1,Repositorios y lockfiles incluyen material sensible o vulnerable,S02 S04 S05,Q04 Q06,G1,Pendiente,frontend/package-lock.json; backend/src/hotel-erp.Api/hotel-erp.Api.csproj; .gitignore,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
OPS-01,P0,El frontend actual no compila,S02,Q01 Q02,G1,Pendiente,frontend/src/pages/reservations/CheckInPage.tsx; frontend/src/pages/accounting/ChartOfAccountsPage.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
OPS-02,P0,El Dockerfile de backend copia el código a una ruta distinta de la compilada,D01,GD: ensayo Docker posterior,GD,Diferido por alcance Docker,docker/backend/Dockerfile,GD; no se cierra en etapa local
OPS-03,P1,Nginx no entrega la aplicación y cambia las rutas de la API,D01,GD: ensayo Docker posterior,GD,Diferido por alcance Docker,docker/nginx/nginx.conf; docker/docker-compose.yml; docker/frontend/Dockerfile,GD; no se cierra en etapa local
OPS-04,P1,La impresión usa APIs de Windows dentro del destino Linux,S23 D02,IMP03 IMP06 IMP07,G5 + GD,Pendiente; componente Docker diferido,backend/src/hotel-erp.Api/Services/RawPrinterHelper.cs; backend/src/hotel-erp.Api/Services/EscPosService.cs; backend/src/hotel-erp.Api/Controllers/PrintController.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
OPS-05,P1,Recibo impreso no conserva fielmente el documento fiscal emitido,S07 S09 S23,FIS10 IMP01 IMP02 IMP05,G4,Pendiente,backend/src/hotel-erp.Api/Services/EscPosService.cs; backend/src/hotel-erp.Api/Controllers/PrintController.cs; backend/src/hotel-erp.Api/Controllers/ReservationsController.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
OPS-06,P1,Respaldo SQL no cubre todos los datos persistentes ni una recuperación del equipo,S28 S29 D01,OPS03 OPS07 M04,G5 + GD,Pendiente; componente Docker diferido,backend/src/hotel-erp.Api/Services/DatabaseBackupService.cs; docker/docker-compose.yml; backend/src/hotel-erp.Api/Services/BackupOptions.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
OPS-07,P2,Procesos de respaldo presentan carreras y fallos de disponibilidad,S28,OPS04 OPS05 OPS06,G5,Pendiente,backend/src/hotel-erp.Api/Services/DatabaseBackupService.cs; backend/src/hotel-erp.Api/Services/BackupHostedService.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
OPS-08,P2,Salud y arranque no reflejan preparación real,S27 D01,OPS01 OPS02,G5 + GD,Pendiente; componente Docker diferido,backend/src/hotel-erp.Api/Program.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
DB-01,P1,Correlativo protegido por lock sigue usando el CAI obsoleto de EF,S07 S10 S13,CON01 CON02 TX02,G2,Pendiente,backend/src/hotel-erp.Api/Database/Repositories/InvoiceRepository.cs; backend/src/hotel-erp.Api/Services/PostgresCorrelativeLock.cs; backend/src/hotel-erp.Api/Controllers/InvoicesController.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
DB-02,P1,Inicio de rango y validación de autorización son inconsistentes,S07,FIS01 FIS02 FIS03 FIS04 FIS05,G2,Pendiente,backend/src/hotel-erp.Api/Controllers/CAIController.cs; backend/src/hotel-erp.Api/Controllers/DocumentAuthorizationsController.cs; backend/src/hotel-erp.Api/Services/FiscalAuthorizationService.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
DB-03,P1,"Mezcla de UTC, hora hondureña y límites de consulta",S06 S13 S20 S21,DAT01 DAT02 DAT03 CTA09,G4,Pendiente,backend/src/hotel-erp.Api/Services/HondurasTime.cs; backend/src/hotel-erp.Api/Database/Repositories/InvoiceRepository.cs; backend/src/hotel-erp.Api/Controllers/ReportsController.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
DB-04,P1,DTO devuelven líneas vacías y autorizaciones fallan al mapear fechas,S06 S24,API01 API02 API05,G1,Pendiente,backend/src/hotel-erp.Api/Dtos/Mappings/MappingProfile.cs; backend/src/hotel-erp.Api/Dtos/common/InvoiceDtos.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
DB-05,P2,Listados completos y N+1 de reportes crecerán con el historial,S26 S27,PERF01 PERF02 PERF03 UI15,G5,Pendiente,backend/src/hotel-erp.Api/Database/Repositories/InvoiceRepository.cs; backend/src/hotel-erp.Api/Controllers/ReportsController.cs; frontend/src/pages/inventory/InventoryPage.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
DB-06,P2,Esquema requiere restricciones e índices de negocio,S13 S14 S19 S27,DAT04 DAT05 DAT07 CON03 CON05,G5,Pendiente,backend/src/hotel-erp.Api/Database/ApplicationDbContext.cs; backend/src/hotel-erp.Api/Migrations/20260820161833_InitialPostgresCreate.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
DB-07,P2,"PostgreSQL ya está implementado, pero falta validar migración de datos históricos",S00 S13 S29,M01 M02 M03 M05 M06,G6,Pendiente,backend/src/hotel-erp.Api/Program.cs; backend/src/hotel-erp.Api/Migrations/20260820161833_InitialPostgresCreate.cs; backend/src/hotel-erp.Api/Data/hotel.db,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
UX-01,P1,Menú fijo impide trabajar con comodidad en pantallas estrechas,S25,UI10,G5,Pendiente,frontend/src/components/layout/Sidebar.tsx; frontend/src/components/layout/AppLayout.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
UX-02,P1,Contraste insuficiente en botones y estados de habitación,S25,UI11,G5,Pendiente,frontend/src/index.css; frontend/src/pages/admin/AuditLogsPage.tsx; frontend/src/pages/rooms/FloorMapPage.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
UX-03,P1,"Etiquetas, iconos y selección contable no son accesibles por teclado",S25,UI08 UI09,G5,Pendiente,frontend/src/pages/auth/LoginPage.tsx; frontend/src/pages/accounting/JournalEntriesPage.tsx; frontend/src/components/ui/Pagination.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
UX-04,P1,Modales carecen de un patrón consistente de foco y cierre,S25,UI08,G5,Pendiente,frontend/src/components/ui/ConfirmDialog.tsx; frontend/src/components/layout/CommandPalette.tsx; frontend/src/pages/rooms/FloorMapPage.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
UX-05,P1,"Botones de notas, cargos y autorizaciones no coinciden con el contrato API",S06 S11 S24,API05 UI01 UI02 UI03,G5,Pendiente,frontend/src/pages/invoices/InvoicesPage.tsx; frontend/src/pages/folios/FoliosPage.tsx; frontend/src/pages/invoices/AuthorizationsPage.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
UX-06,P1,Checkout calcula y envía datos fiscales incompatibles,S06 S08 S15 S24,MON12 UI04 HOT10,G5,Pendiente,frontend/src/pages/reservations/CheckOutPage.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
UX-07,P1,La acción de ingresar una reserva no conserva la reserva seleccionada,S15 S24,HOT06 HOT07,G5,Pendiente,frontend/src/pages/reservations/ReservationsPage.tsx; frontend/src/pages/reservations/CheckInPage.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
UX-08,P1,"Errores y cargas se presentan como cero, vacío o éxito",S24 S25,UI07 UI13 UI16,G5,Pendiente,frontend/src/pages/accounting/TrialBalancePage.tsx; frontend/src/pages/reports/ReportsPage.tsx; frontend/src/pages/invoices/InvoiceEditPage.tsx; frontend/src/pages/settings/SettingsPage.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
UX-09,P2,Búsquedas y paginación generan carreras y trabajo innecesario,S26,UI14 UI15 UI16 PERF01,G5,Pendiente,frontend/src/pages/guests/GuestsPage.tsx; frontend/src/pages/customers/CustomersPage.tsx; frontend/src/lib/axios.ts,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
UX-10,P2,"Navegación, permisos y atajos prometidos no están alineados",S03 S25,SEC03 UI12,G5,Pendiente,frontend/src/components/layout/CommandPalette.tsx; frontend/src/components/layout/Breadcrumbs.tsx; frontend/src/App.tsx; frontend/src/components/layout/Sidebar.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
UX-11,P2,Acciones duplicables y validación inconsistente entre capas,S04 S10 S24,UI05 TX03 TX05 SEC10,G5,Pendiente,frontend/src/pages/discounts/DiscountsPage.tsx; frontend/src/pages/rooms/RoomTypesPage.tsx; frontend/src/pages/users/UsersPage.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
UX-12,P2,La interfaz afirma funciones que no están implementadas o comprobadas,S18 S21 S22 S25,REP06 REP07 AUD05 UI12,G5,Pendiente,frontend/src/pages/reports/ReportsPage.tsx; frontend/src/pages/admin/AuditLogsPage.tsx; frontend/src/pages/dashboard/DashboardPage.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
UX-13,P2,Previsualización de impresión ignora cambios aún no guardados,S23,IMP04,G4,Pendiente,frontend/src/pages/settings/SettingsPage.tsx; backend/src/hotel-erp.Api/Controllers/PrintController.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
UX-14,P2,Tokens y movimiento necesitan una política común,S25,UI11 UI13,G5,Pendiente,frontend/src/index.css; frontend/src/pages/common/NotFoundPage.tsx; frontend/src/App.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
QA-01,P1,No hay una puerta automatizada que impida entregar código roto,S02 S30,Q01 Q02 Q03 E2E06,G6,Pendiente,frontend/package.json; frontend/eslint.config.js; backend/src/hotel-erp.Api/hotel-erp.Api.csproj,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
QA-02,P2,Lógica de negocio duplicada en controladores y navegador,S05 S08 S10 S12,Q05 MON10 TX02,G2,Pendiente,backend/src/hotel-erp.Api/Controllers/InvoicesController.cs; backend/src/hotel-erp.Api/Controllers/ReservationsController.cs; frontend/src/pages/reservations/CheckOutPage.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
QA-03,P2,Falta trazabilidad de entrega y manual de operación local,S00 S02 S05 S29 S30 S31,Q01 Q06 M06 E2E06,G6,Pendiente,frontend/README.md; docs/QA_FIX_PLAN.md; .codex/hooks.json,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
FIN-13,P1,La API permite facturas con líneas e importes negativos,S08 S13,MON09 DAT07,G2,Pendiente,backend/src/hotel-erp.Api/Dtos/common/InvoiceDtos.cs; backend/src/hotel-erp.Api/Controllers/InvoicesController.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
FIN-14,P1,El borrador DMR-1 muestra un cálculo de ISV sin modelo de retenciones,S01 S18 S21 S25,N03 RET04 REP06 REP07,G4,Pendiente,frontend/src/pages/reports/ReportsPage.tsx; backend/src/hotel-erp.Api/Controllers/ReportsController.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
